        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2017-03-30 18:15:02 ,              992.7   ,               1252.8   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:02 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:03 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:04 ,              992.7   ,               1252.8   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:05 ,              992.7   ,               1252.8   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:06 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0000   ,
2017-03-30 18:15:07 ,              796.9   ,                400.0   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9250   ,
2017-03-30 18:15:08 ,              796.9   ,                400.0   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9250   ,
2017-03-30 18:15:09 ,              796.9   ,                400.0   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9250   ,
2017-03-30 18:15:10 ,              202.5   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9250   ,
2017-03-30 18:15:11 ,              202.5   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9250   ,
2017-03-30 18:15:12 ,              202.5   ,                202.5   ,               48.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 0.9310   ,
2017-03-30 18:15:13 ,              992.7   ,               1252.8   ,               49.0   ,          1   ,                        0   ,                   0   ,                    0   ,                          23   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:14 ,              992.7   ,               1252.8   ,               49.0   ,          1   ,                        0   ,                   0   ,                    0   ,                         202   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:15 ,              992.7   ,               1252.8   ,               49.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         212   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:16 ,              992.7   ,               1252.8   ,               50.0   ,          1   ,                        0   ,                   0   ,                    0   ,                         221   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:17 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         225   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:18 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         234   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:19 ,              992.7   ,               1252.8   ,               50.0   ,          1   ,                        0   ,                   0   ,                    0   ,                         277   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:20 ,              992.7   ,               1252.8   ,               50.0   ,          4   ,                        1   ,                   0   ,                    2   ,                         603   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:21 ,              992.7   ,               1252.8   ,               50.0   ,          7   ,                        1   ,                   0   ,                    4   ,                         681   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:22 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         772   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:23 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         844   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:24 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         850   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:25 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         946   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:26 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         946   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:27 ,              992.7   ,               1252.8   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         946   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:28 ,              992.7   ,               1252.8   ,               50.0   ,         18   ,                        2   ,                   0   ,                   16   ,                        1360   ,                        43   ,              16   , 1.0000   ,
2017-03-30 18:15:29 ,             1097.5   ,               1252.8   ,               51.0   ,        100   ,                       17   ,                   0   ,                    1   ,                        1360   ,                        43   ,              16   , 1.0680   ,
2017-03-30 18:15:30 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0680   ,
2017-03-30 18:15:31 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0680   ,
2017-03-30 18:15:32 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0680   ,
2017-03-30 18:15:33 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0680   ,
2017-03-30 18:15:34 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                        1360   ,                        43   ,              16   , 1.0680   ,
2017-03-30 18:15:35 ,             1097.5   ,               1252.8   ,               51.0   ,          1   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:36 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:37 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:38 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
2017-03-30 18:15:39 ,             1097.5   ,               1252.8   ,               51.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                         0   ,              16   , 1.0680   ,
