n00001740	entity
n00001930	physical entity
n00002137	abstraction, abstract entity
n00002452	thing
n00002684	object, physical object
n00003553	whole, unit
n00003993	congener
n00004258	living thing, animate thing
n00004475	organism, being
n00005787	benthos
n00005930	dwarf
n00006024	heterotroph
n00006150	parent
n00006269	life
n00006400	biont
n00006484	cell
n00007347	causal agent, cause, causal agency
n00007846	person, individual, someone, somebody, mortal, soul
n00015388	animal, animate being, beast, brute, creature, fauna
n00017222	plant, flora, plant life
n00019046	native
n00019128	natural object
n00019613	substance
n00020090	substance
n00020827	matter
n00021265	food, nutrient
n00021734	nutrient
n00021939	artifact, artefact
n00022903	article
n00023100	psychological feature
n00023271	cognition, knowledge, noesis
n00023773	motivation, motive, need
n00024264	attribute
n00024720	state
n00026192	feeling
n00027167	location
n00027807	shape, form
n00028270	time
n00028651	space, infinite
n00029007	absolute space
n00029114	phase space
n00029378	event
n00029677	process, physical process
n00030358	act, deed, human action, human activity
n00031264	group, grouping
n00031921	relation
n00032613	possession
n00032823	social relation
n00033020	communication
n00033615	measure, quantity, amount
n00034213	phenomenon
n00034479	thing
n00034574	kindness, benignity
n00034777	abdominoplasty, tummy tuck
n00034939	abort
n00035189	accomplishment, achievement
n00035697	agon
n00035891	alienation
n00036061	application
n00036299	beachhead, foothold
n00036580	cakewalk
n00036762	feat, effort, exploit
n00037006	masterpiece
n00037090	masterstroke
n00037200	credit
n00037396	action
n00038175	res gestae
n00038262	course, course of action
n00038573	blind alley
n00038863	collision course
n00039021	interaction
n00039211	interplay
n00039297	contact
n00039545	brush
n00039740	eye contact
n00039916	fetch
n00039990	placement
n00040152	interchange, reciprocation, give-and-take
n00040420	reciprocity
n00040545	cross-fertilization, cross-fertilisation
n00040804	dealings, traffic
n00040962	relation
n00041188	playing
n00041468	play, swordplay
n00041614	boondoggle
n00041740	bowling
n00041899	acquiring, getting
n00042311	causing, causation
n00042541	delivery, obstetrical delivery
n00042757	departure, going, going away, leaving
n00043116	derring-do
n00043195	discovery, find, uncovering
n00043609	disposal, disposition
n00043902	hit
n00044150	implementation, effectuation
n00044455	egress, egression, emergence
n00044673	equalization, equalisation, leveling
n00044900	exhumation, disinterment, digging up
n00045114	mitzvah, mitsvah
n00045250	propulsion, actuation
n00045646	rally, rallying
n00045907	recovery, retrieval
n00046177	running away
n00046344	stunt
n00046522	touch, touching
n00047018	tour de force
n00047106	performance
n00047356	overachievement
n00047550	underachievement
n00047745	record, track record
n00047941	fait accompli, accomplished fact
n00048051	going, sledding
n00048225	arrival, reaching
n00048374	arrival
n00048656	attainment
n00048828	advent, coming
n00049003	entrance, entering, entry, ingress, incoming
n00049344	incursion
n00049530	intrusion
n00049636	irruption
n00049789	entree
n00049909	entail
n00050037	registration, enrollment, enrolment
n00050195	appearance
n00050484	apparition
n00050693	emergence, emersion
n00050887	reappearance, return
n00051077	comeback
n00051192	return, homecoming
n00051385	repatriation
n00051525	penetration
n00051712	interpenetration, permeation
n00051897	market penetration
n00052052	anchorage
n00052146	docking, moorage, dockage, tying up
n00052334	landing
n00052500	landing
n00052791	forced landing, emergency landing
n00053020	breaking away
n00053097	farewell, leave, leave-taking, parting
n00053405	French leave
n00053525	valediction
n00053609	disappearance, disappearing
n00053806	vanishing
n00053913	withdrawal
n00054328	effacement, self-effacement
n00054483	retreat
n00054652	retirement, retreat
n00054821	evacuation
n00055038	medical evacuation, medevac, medivac
n00055227	decampment
n00055315	desertion, abandonment, defection
n00055633	abscondment, decampment
n00055793	absence without leave, unauthorized absence
n00055932	deviationism
n00056087	emigration, out-migration, expatriation
n00056311	immigration, in-migration
n00056551	aliyah
n00056688	pullback
n00056912	retreat
n00057162	standdown, stand-down
n00057306	disengagement, fallback, pullout
n00057486	receding, recession
n00057657	sailing
n00057748	amphibious landing
n00058002	debarkation, disembarkation, disembarkment
n00058247	going ashore
n00058337	boarding, embarkation, embarkment
n00058519	exit
n00058608	elopement
n00058743	escape, flight
n00059127	evasion
n00059376	slip, elusion, eluding
n00059552	maneuver, manoeuvre, evasive action
n00059728	clinch
